	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
TXAG.F	0,2334883	0,5048796	0,3029639	0,8513868	1,1190030	0,1341758	0,3608196	-0,2857143	
DFTKn.DE	0,1319069	0,0276119	0,1058204	0,9209041		1,6551931	-2,0928986	-2,6872216	
DREGa.F	0,0608626	0,0485298	0,1301852	0,4839915		0,7510107	3,8399250	7,6104234	
333.DE	0,0733980	0,0948440	0,1207289						
LSXG.F	0,0266419	0,0112410	0,0514312	2,6262985	2,6354565	0,2098015	0,4149105	1,8303004	
HETAn.F	0,0145086	0,0145619	0,0428450						
IFXGn.DE	0,0202434	0,0155133	0,0517628	2,9359477	3,7143791	0,1946737	0,3521800	1,0994406	-0,3024435
RWEG.DE	0,0306074	0,0211280	0,0342078	1,1096915	1,1876617	0,2176368	2,9529673	3,1593779	1,3743889
NSNG.F	0,2535498	0,0850748	0,1878421	0,4711134	0,6678589	1,0256839	-2,9149010	34,2878942	
NC5Ak.DE	0,0643986	0,0269734	0,0773548	1,7686773		0,0000000	0,0000000	0,0000000	
UZUG.DE	0,0207138	0,0195926	0,0304753	1,9039249	2,6710511	0,2596326	0,4702340	2,0498884	1,6141403
EKTG.F	0,0198642	0,0204418	0,0515878	2,1907619	2,6223494	0,6993746	5,5317677	4,2371201	4,2008258
IS7G.DE	0,0191205	0,0201629	0,0534094	1,0637549	1,5990478	0,4564867	1,1192460	3,6527089	
LEIG.DE	0,0169377	0,0165245	0,0385259	2,8732723	3,6104023	0,0000000	0,0000000	0,0000000	-2,3459863
V6CG.DE	0,0180147	0,0106655	0,0416033	4,2430018	6,0256001	0,0000000	0,0000000	0,0000000	-0,9205384
DKAG.F	0,0319948	0,0419973	0,0641275	3,8459668	4,9263367	0,0468957	0,0904655	0,1989185	
I7NG.DE	0,2575570	0,1121456	0,1373884	0,2878368	0,4723439	2,3964497	-1,4819578	-5,2214379	
FPEG_p.DE	0,0157497	0,0094085	0,0366071	2,2893157	3,1812725	0,0118768	0,0165544	0,0474785	-0,0793821
NEKG.DE	0,0216845	0,0131635	0,0409735	1,2093503	1,2144393	0,2501489	0,5759743	1,3227676	-0,2432051
BEIG.DE	0,0132807	0,0105748	0,0234165	2,1744548	2,5752856	0,0139677	0,0229226	0,0882353	-1,9456016
CWCG.DE	0,0179301	0,0203845	0,0336661	1,2297668	1,5894933	0,0187686	0,0355778	0,0814737	-0,1405912
FPHG.DE	0,0156086	0,0146047	0,0556352	0,9218036	1,0837512	0,2326217	1,0775962	1,3472650	0,4598554
MLLG.DE	0,0203015	0,0249861	0,0497148	1,7914500	1,7946835	0,3336174	0,8655338	3,1224266	
BUFG.F	0,1447956	0,1335120	0,4084058	0,0155235		0,6592886		-1,6784983	
CSGG.F	0,2537804	0,0932846	0,1709570	6,8674855	6,9697740	0,2444867	0,3541697	1,2140819	
V3VGn.DE	0,0272937	0,0231798	0,0546511	1,4445323	1,5281788	0,0851720	0,1575146	4,7563776	-1,2755102
JY8G.F	0,0861138	0,0000000	0,1079583	5,2689236	6,6055913	0,3326643	0,5313823	3,2838591	0,2218872
E7SG.DE	0,0302221	0,0276504	0,0571539	2,2038473	4,0295036	0,6140231	2,2335383	2,0798728	
HHFGn.DE	0,0186970	0,0134784	0,0364178	2,3318803	2,4503423	0,3169341	1,0089060	1,9784307	0,6313057
GSC1n.DE	0,0098646	0,0081567	0,0312455	2,1324248	3,2993216	0,2857390	0,6508241	2,2647047	
FAM1.F	0,0850946	0,0716615	0,1754715	11,6448496		0,0000000	0,0000000		
MUVGn.DE	0,0157367	0,0114341	0,0268746			0,0175923	0,1542324		
ODEG.F	0,0946001	0,0224037	0,1049068	1,0797406	1,2929641	0,3252389	0,7773149	1,8298309	
MXHNn.DE	0,0151539	0,0103838	0,0420062	1,5824548	1,9181754	0,2559051	0,6821190	2,3907693	1,8194115
