InvestmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
DTDGk.DE	-15,8700000	0,0924295	22,3500000	0,0007183	0,0736693	0,0276239	0,0238554	0,0573484	0,5220038		0,3225850	0,6826841	5,7624000		0,0276239	0,0238554	0,0573484	0,5220038		0,3225850	0,6826841	5,7624000	
BVB.DE	-12,1400000	0,0720113	45,0400000	0,0018116	0,0280809	0,0161693	0,0117279	0,0388196	1,5452158	1,6741064	0,0509487	0,0698774	0,2495731	-0,4326857	0,0161693	0,0117279	0,0388196	1,5452158	1,6741064	0,0509487	0,0698774	0,2495731	-0,4326857
COKG.DE	-139,8100000	0,8433504	54,9600000	0,0321793	0,0263398	0,0200569	0,0166707	0,0444685	1,7381464	1,9132669	0,1315729	0,2889136	0,8837574	-0,6291148	0,0200569	0,0166707	0,0444685	1,7381464	1,9132669	0,1315729	0,2889136	0,8837574	-0,6291148
HWAG.DE	-23,7900000	0,1509894	52,6700000	0,0044032	0,0254205	0,0228496	0,0152750	0,0516791	1,5831771	1,5966075	0,6983232	3,6273164	9,0782154	7,9476686	0,0228496	0,0152750	0,0516791	1,5831771	1,5966075	0,6983232	3,6273164	9,0782154	7,9476686
CSHG.DE	-66,0300000	0,4045764	58,4000000	0,0162628	0,0227648	0,0218172	0,0109895	0,0449454	2,5395047	2,5427055	0,0000000	0,0000000	0,0000000	-0,8483667	0,0218172	0,0109895	0,0449454	2,5395047	2,5427055	0,0000000	0,0000000	0,0000000	-0,8483667
CEVG.DE	-31,4800000	0,1876332	46,1800000	0,0043277	0,0292554	0,0143114	0,0079332	0,0435496	2,0438190	2,6658664	0,2005361	0,4027361	1,7316985	0,9785647	0,0143114	0,0079332	0,0435496	2,0438190	2,6658664	0,2005361	0,4027361	1,7316985	0,9785647
CWCG.DE	-219,9600000	1,2763830	47,7100000	0,0435312	0,0379557	0,0179301	0,0203845	0,0336661	1,2297668	1,5894933	0,0187686	0,0355778	0,0814737	-0,1405912	0,0179301	0,0203845	0,0336661	1,2297668	1,5894933	0,0187686	0,0355778	0,0814737	-0,1405912
CSGG.F	-6,8800000	0,0425708	9,1600000	0,0000100	0,0290376	0,2537804	0,0932846	0,1709570	6,8674855	6,9697740	0,2444867	0,3541697	1,2140819		0,2537804	0,0932846	0,1709570	6,8674855	6,9697740	0,2444867	0,3541697	1,2140819	
CU1G.DE	-28,3800000	0,1683354	44,6600000	0,0022018	0,0289019	0,0202084	0,0137323	0,0351903	2,5951737		0,5580692	1,4760034	7,4399046	7,0479713	0,0202084	0,0137323	0,0351903	2,5951737		0,5580692	1,4760034	7,4399046	7,0479713
CAGGk.DE	-66,7500000	0,4192134	56,5400000	0,0047721	0,0324448	0,0124565	0,0075892	0,0801482	3,0115959	3,0115959	0,0000000	0,0000000	-0,0000000	629,5202952	0,0124565	0,0075892	0,0801482	3,0115959	3,0115959	0,0000000	0,0000000	-0,0000000	629,5202952
